line,recipe id,hits,title,story,ingredients,steps
1,351758,0,"[69614, 73872, 69343, 75978]","[73872, 69614, 76803]","[69371, 75978, 75978, 73872, 69609, 75396, 69610, 73381, 69614, 73381, 72731, 69343, 72731, 69614, 69654, 69827, 69765]","[72783, 69654, 69715, 75978, 69614, 73381, 73872, 75978, 73381, 69343, 73872, 69614, 73381, 73872, 75978, 75130, 71342, 69343, 69827, 69765, 75978, 69495, 69343]"
1,351768,0,[69311],,"[69311, 90197, 69386, 71640, 69765, 90198, 75143, 90198, 73827, 90198, 69448, 69300, 69343, 69584, 76091, 73317, 71309]","[69311, 69232, 69334, 73317, 71309, 72037, 73583, 69311, 73872, 69633, 73583, 73872, 69386, 73872, 90197, 69311, 90197, 73872, 69386, 69447, 73872, 69715, 70681, 69584, 73872, 69343, 73872, 76091, 69228, 69343, 73872, 69447, 69207, 70801]"
1,351804,0,"[70578, 70676]","[69316, 72081, 90186, 71944, 69429, 73381, 69827, 70909, 69429, 69584, 73872, 70036, 70866, 73872, 70229, 69208, 69316, 69429, 69386, 69506, 69316, 73679]","[69316, 70909, 69893, 69609, 69827, 90198, 75143, 71171, 72050, 70439, 69229, 69208, 69229, 90186, 69195, 72450, 70229, 69715, 69429, 69386]","[69609, 70909, 73872, 69765, 73872, 90197, 69232, 69534, 73872, 69827, 73872, 69232, 73872, 75130, 75966, 70073, 75971, 72050, 70439, 73872, 73381, 73872, 69229, 70866, 72590]"
1,351869,0,"[70864, 69739]",[70864],"[71309, 71415, 75810, 72786, 70938, 73703, 76154, 69654, 71190, 90198, 75143]","[69248, 71309, 73872, 71309, 71803, 76154, 69654, 71190, 90228, 69765, 73872, 90197, 71803, 71415, 73872, 69343, 69343, 76154, 69654, 71190]"
1,351885,0,"[69380, 69260]",[],"[69229, 69260, 76154, 73625, 73703, 69577, 69343, 69765, 73872, 90197]","[69654, 69229, 76154, 73872, 69911, 69260, 69765, 69577, 69343, 73872, 72985, 73381, 73625, 69229, 74145, 69229, 90197, 73446]"
1,351967,0,[69396],,"[71723, 69654, 71684, 69386, 71640, 93777, 72563, 69609, 72564, 69609, 69986, 71598, 73872, 69412, 71309, 69396, 75620, 69649, 74302, 72783, 71309]","[69654, 69715, 69396, 71723, 73872, 69715, 69225, 69584, 73872, 69386, 90197, 73872, 69986, 69396, 73872, 69412, 69715, 73872, 69396, 75620, 69649, 73872, 71309, 73872, 71803, 74302, 73872, 69207, 71470, 70115, 69267, 75396, 91308, 75971, 71723]"
1,351986,0,"[69497, 69614, 69343, 73872, 90197]","[69323, 89951, 72742, 73872]","[69497, 90197, 69556, 69343, 69614, 69896]","[69497, 69715, 71309, 69497, 73381, 69343, 73872, 73381, 72627, 73872, 69343, 69497, 69614, 69614, 69343, 73872, 72627, 71309, 69497, 69715, 69497, 69614, 69343, 73872, 72627, 69497, 73872, 69225, 69715, 69343]"
1,352017,0,"[70330, 69706]","[69315, 73872, 69534, 70330, 72301, 73872, 73285, 73872]","[70330, 93692, 73285, 70330, 86088, 72301, 71933, 73381, 69229, 75143, 76097, 69654, 69287, 69535, 73381, 70330, 73642, 73985, 86081, 69207]","[70330, 73285, 73872, 71933, 75143, 71933, 73381, 73872, 72301, 73985, 86081, 73872, 69316, 73381, 73642, 73872, 73381, 69229, 75741, 76097, 76097, 69229, 70073, 69654, 73872, 69287, 69535, 69911, 69316, 69429, 73381, 73872]"
1,352039,0,"[69556, 69396]",,"[71598, 69548, 69896, 69343, 69371, 69260, 71415, 71060, 69230, 69765, 73872, 90197, 70020, 69534, 70020, 70115, 69584]","[69225, 69584, 73632, 69248, 71598, 73381, 69396, 69396, 76591, 69396, 73872, 70405, 69609, 69343, 73872, 69396, 73703, 69343, 69534, 69396, 69765, 73872, 90197, 70073, 69371, 69343, 69396, 70073, 69343, 73872, 73872, 70073, 70264, 69343, 71415, 73872, 69260, 70636, 70020, 69816, 70636, 69816, 70020, 70636, 73872, 71060, 69230, 70073, 73872, 75130, 73872, 69765, 69584, 71965, 69396, 90228, 69343, 73872, 69396, 69816, 70073, 75396, 69287, 87882, 71060, 75396, 69228]"
1,352055,0,"[69267, 72145, 69652, 69396, 69316]",,"[71598, 71834, 73429, 70115, 75371, 74245, 69337, 70465, 69575, 75557, 69343, 75419]","[69207, 69652, 72145, 73440, 69827, 73440, 75143, 73440, 86199, 70751, 73872, 69225, 75419, 74325, 69396, 73872, 69386, 70115, 70073, 69396, 73872, 69386, 69386, 73872, 69396, 70073, 69396, 73381, 75557, 69343, 73872, 69225, 69911, 69229, 70405, 69207, 69229, 69396, 73872, 69386, 70465, 73872, 69575, 70405, 69207, 69229, 69609, 73872]"
1,352072,0,"[69217, 86089, 70866, 73212]",[],"[69234, 86088, 70866, 73212, 70866, 71684, 70859, 69584, 71555, 73872, 71640, 69827, 71640, 70029, 72589, 71309, 70036, 74288, 75734, 69232, 72008, 69234, 70810, 72423, 69207, 73317, 71309]","[86088, 69234, 70866, 73212, 69328, 73872, 69234, 69226, 73212, 73872, 76188, 74325, 69715, 76188, 69234, 86088, 88510, 73212, 73872, 71555, 86199, 91308, 69226, 73872, 69232, 72008, 69232, 86088, 72589, 69716, 70036, 74288, 72008, 70029, 73872, 73872, 86088, 69241, 73577, 73872, 70029, 69217, 69315, 73317, 71309, 73440, 74302, 73872, 71415, 70940, 69316, 70866, 70863, 69207, 69765, 73872, 90197, 74924, 70807, 73872, 70029, 70029, 72589, 71309, 74325, 76188, 69234, 71803, 69232, 72008, 86088, 88510, 72589, 71309, 70029, 71817, 70116, 73872, 72423, 69207, 70029, 71470, 71309, 75741, 69225, 70029, 69225, 73872, 70115, 69534, 69234, 73872]"
1,352086,0,"[69396, 72301, 75356, 76591]",,"[71598, 75356, 72301, 90197, 70938, 76077, 69447, 69654]","[74325, 73872, 72783, 69654, 69396, 74325, 73872, 69396, 74325, 69609, 69396, 73872, 69534, 73440, 76077, 69225, 69447, 74640, 69396, 69447, 69396, 72301, 73872, 75356]"
1,352116,0,"[69720, 70238, 69497]",[70439],"[69497, 70963, 69386, 73384, 70238, 90197, 69765, 70865, 71415]","[69497, 69715, 73384, 73872, 69386, 70238, 73872, 70963, 73872, 70865, 71415, 69765, 90197, 69497, 69207]"
1,352132,0,"[76194, 69614, 75986, 69249]",,"[71415, 73625, 69614, 73872, 75047, 72742, 69333, 73872, 75986, 70865, 92515]","[72514, 69334, 71415, 69249, 73872, 69343, 73872, 69343, 74122, 69614]"
1,352202,0,"[69497, 69648]","[72742, 89951, 73872, 69207, 75741, 71415, 92639, 69343]","[71640, 69484, 69614, 69386, 71640, 69371, 70807, 92639, 69343, 69497, 70620, 70618, 69343, 72050, 69765, 90198, 75143, 70543]","[72514, 71309, 73872, 70818, 69765, 69497, 69225, 69584, 69614, 73872, 69386, 73872, 70543, 73872, 70807, 92639, 69343, 73872, 69497, 72514, 73872, 70618, 69343, 73872]"
1,352228,0,"[72159, 69304, 69884, 69386]","[69198, 73872, 69232, 75396, 69395]","[72159, 69304, 71021, 71309, 69662, 69765, 90197, 72050]","[69609, 69386, 69611, 91300, 69225, 69584, 73378, 73872, 69884, 73872, 71309, 73872, 71309, 73872, 71309, 69225, 73872, 69304, 73064, 69534, 69765, 73872, 90197, 69225, 73872, 72589, 69396, 69386, 88510, 69304, 73872, 93777, 69971, 70465]"
1,352264,0,[73322],,"[72589, 76593, 74928, 71562, 69896, 72419, 69654, 73872, 69765, 73872, 90197, 71060]","[74928, 76593, 74928, 69330, 72419, 69654, 73872, 73872, 73872, 69765, 73872, 90197, 69471, 71060, 75810]"
1,352276,0,"[69228, 72801]",[70940],"[70569, 69619, 69520, 69619, 69482, 88229, 69232, 69311, 70940, 69232, 72742, 75130, 69893, 69609, 70940, 69232, 72210, 86088, 69241, 70940, 69207, 93779, 69207, 69232, 69207, 71123]","[75396, 88229, 70569, 69497, 88510, 69232, 69232, 69654, 69715, 73872, 69232, 72210, 72210, 70073, 69232, 73872, 72210, 72210, 69619, 88229, 73872, 74060, 69619, 88510, 70179, 88510, 69654, 71123, 69619, 69232, 70940, 86088, 69241, 69207, 69207, 69619, 69232, 69207, 86088, 69241, 69232, 73872, 93779, 71303, 71123, 92418, 72210, 71123, 69619, 69232, 69241, 69207, 69343, 69207, 72210, 69343, 73872, 69228, 69226, 69391, 73872, 72145, 69693]"
1,352294,0,[69614],,"[69727, 69614, 69343, 75741, 69604, 71640, 69482, 69765, 73872, 90197, 69234, 70115, 72765]","[69614, 73872, 75130, 69234, 69482, 73872, 69765, 73872, 90197, 70115, 73657, 75741, 73381, 69343, 69614, 69234, 73872, 69604, 73872, 69343, 69556, 72765, 73872]"
1,352313,0,"[69778, 74155, 69614]","[69315, 73872, 73872]","[69229, 69575, 71933, 70465, 71640, 69652, 74155, 69614, 74303, 69827, 69765, 90198, 75143]","[69609, 69614, 73872, 69614, 75741, 69609, 69614, 69225, 69265, 69911, 69229, 73872, 69652, 70465, 69575, 69827, 69765, 73872, 90197, 74155, 69614, 71933, 69609, 71933, 70198, 73381, 75396, 75396, 70859, 70198, 73872, 73381, 69229, 73872]"
1,352405,0,"[69614, 69734]","[70254, 73872, 73872, 73872, 73770, 73872, 69614]","[69234, 69734, 69734, 69614, 90204, 70074, 73703, 90197, 70938, 69896, 73770, 69827]","[69247, 71803, 69734, 69247, 71309, 73872, 69614, 74325, 70074, 73770, 73872, 69827, 73703, 69343, 73872, 75741, 73872, 70864, 70074, 69614, 69734, 71309, 73872, 69609, 69609, 69734, 70074, 73872, 69609, 69734, 69614, 73872, 76591, 69495, 69715, 69343, 73872, 69228]"
1,352452,0,"[86088, 69241, 69249]",,"[69575, 69827, 72000, 72564, 69986, 71640, 71037, 71640, 69827, 72000, 72050, 69765, 90197, 93779, 90197, 69576, 71848, 70751, 69396, 69241, 69606]","[69228, 70577, 69575, 72008, 72563, 73872, 72000, 69827, 72050, 73872, 69765, 90197, 73337, 73872, 71578, 69576, 69827, 69986, 73872, 69386, 69248, 69328, 70940, 86472, 69249, 70116, 73378, 69386, 69986, 73872, 69827, 69248, 69633, 71817, 86088, 71817, 69225, 69249, 73999, 70864, 73872]"
1,352454,0,"[69429, 69241, 69316]",[],"[69652, 69827, 90198, 71969, 72050, 72564, 72184, 71021, 70154, 75992, 69229, 75047, 73285, 69343]","[70577, 69652, 90198, 69827, 73872, 71969, 73515, 69429, 69225, 69241, 72050, 70073, 75589, 69584, 72563, 73872, 72184, 69429, 73872, 69386, 73872, 69881, 73872, 90197, 69429, 73872, 70405, 69652, 69609, 70073, 69229, 73872, 73285, 69343, 69429, 69343, 70073, 73872, 69229, 73872, 69343, 69429, 73872, 69241, 70812, 69429, 69316]"
1,352459,0,"[73050, 69835, 69575, 73872, 71268]","[69835, 73872, 69835, 75396, 70387, 69835, 70127, 69399, 89951, 73050, 69835]","[73050, 89949, 69577, 69343, 73703, 75096, 71268, 72050, 69287, 69633, 70115]","[69609, 73381, 73050, 73381, 73657, 73872, 72050, 69389, 72081, 73872, 69226, 73872, 71268, 69343, 73381, 75096, 73872, 69835, 69287, 70115, 69835, 75396, 86199, 69576, 69287, 70115, 69633, 69835, 69226, 73872, 69389, 69343, 73872, 70254]"
1,352464,0,"[70864, 70470, 69249]",,"[70865, 75416, 70470, 74856, 73665, 71969, 70470, 70865, 69249]","[69249, 70865, 73665, 73440, 75416, 73872, 71969, 72514, 69225, 69225, 69328, 71803, 69225, 69715, 73872, 69249, 71817, 69534, 69249, 70577, 73872, 74122, 73440, 75416, 88229, 75396, 71969, 73872, 73872, 75734, 73872, 74122, 75244, 88229]"
1,352470,0,"[70578, 69234, 73872, 75501, 69986]","[70578, 69529, 72999, 88229]","[74302, 71309, 69827, 73437, 70541, 75501, 69386, 69986, 71684, 69207, 71723, 74303, 90198, 72667, 74302, 71309]","[70577, 69328, 74302, 71309, 73872, 69827, 69234, 69207, 70577, 69328, 69586, 74303, 90198, 72667, 74302, 73872, 71309, 74325, 73655, 69225, 73656, 69234, 72783, 69584, 69234, 73872, 73656, 69986, 73872, 69386, 69584, 69234, 73872, 69207, 69334]"
1,352471,0,"[69495, 69884]","[76201, 69884, 70578, 70578, 75396, 88510, 69272, 88229]","[73872, 69495, 69386, 72667, 69827, 70429, 69575, 72147, 93779, 76046, 69765, 69884, 73919, 71684, 71309, 70808, 73919, 70859, 73827, 70859, 75143, 72000, 93777, 73355]","[69225, 69584, 73872, 69225, 69884, 73872, 70429, 73872, 69386, 72667, 73872, 69827, 73872, 73872, 69584, 70094, 73872, 70808, 70808, 69765, 72147, 93779, 76046, 73872, 70808, 73872, 69495, 73872, 71309, 69225, 73872, 73872, 69495, 75396, 71640, 73919, 73872, 76201, 69884, 75396, 71050, 71097, 69272, 69229, 69334, 69229, 75371, 88510, 75396, 69380, 69315, 69529]"
1,352529,0,"[70483, 73770, 69429, 75188]",[],"[69337, 69391, 75501, 73703, 69986, 69260, 69909, 69780, 71933, 73703, 69343, 69911, 72393, 69623, 74200, 73770, 70483, 69652, 70283, 71252, 91300, 70681, 70115, 69396, 90197]","[69783, 69396, 71252, 91300, 70681, 69783, 69396, 69429, 73872, 71803, 69260, 70198, 73381, 69609, 69780, 71933, 69391, 90228, 75396]"
1,352554,0,"[86087, 69316]",,"[69386, 71640, 70049, 69311, 69207]","[69609, 69386, 69311, 70049, 69207, 69311, 69343, 70056]"
1,352613,0,"[69311, 69316]","[88229, 88229, 73872, 70940, 69311]","[69311, 69304, 69384, 69311, 69229, 76314, 69229, 69654, 69458, 70866, 72766, 90010]","[69225, 74325, 69225, 69384, 73872, 69311, 73381, 73872, 70073, 69609, 76314, 73872, 69609, 70073, 69654, 74325, 69609, 70073, 73872, 76314, 69311, 69384, 69343, 73872, 69439, 69609, 69384, 69311, 73872, 69343, 70405, 69609, 70073, 90186, 70866, 69316, 69654, 73872, 76314, 69225, 74325, 69225, 76314, 74325, 74325, 69248, 75396, 69316, 70073, 73872, 72081, 73872, 69343, 69316, 73872, 88229, 72665]"
