line,recipe id,hits,title,story,ingredients,steps
1,345633,0,"[93705, 73025]",,"[71312, 86098, 73025, 76166]","[73025, 73872, 73267, 69856, 73872, 69265, 73872, 71312, 73872, 69856, 69856, 69856, 73872, 71312, 69264, 71669, 71669]"
1,345718,0,"[69671, 75466]",,"[70387, 71933, 69566, 86098, 71312, 73679, 72783, 71669, 69765, 76138]","[73999, 73872, 70864]"
1,345912,0,"[70578, 73872, 72742, 71543, 93705, 74033]","[75396, 69342, 70578, 73872, 72593]","[69228, 69902, 69358, 69608, 73025, 73212, 73212, 71309, 72589, 69265, 73025, 70056, 74123, 86094, 69410, 69269, 70056]","[69609, 73025, 73381, 73872, 70577, 70577, 73212, 73872, 69265, 71309, 73025, 73381, 76089, 73025, 69902, 73872, 70056, 70577, 74123, 69680, 70865, 73872, 88877, 70865, 69410, 70865, 73872, 69609, 73872, 69680, 69410, 73025, 73381, 69410, 70577, 86094, 73872, 70818, 74123, 74640, 73872, 74073, 69609, 69609, 73872, 69410, 72570, 69269, 73872]"
1,346484,0,"[74157, 73344, 90228, 69228, 69323]",,"[69720, 73384]","[70020, 69566, 73872, 71669, 73872, 74577, 73703, 69720, 73384, 71669, 73872, 69608, 70158, 73872, 74157]"
1,346802,0,"[73145, 69342, 69260, 69586]","[69410, 88229, 70578, 73437, 73921, 69410, 91308]","[69410, 87882, 70020, 70061, 74274, 70020, 76166, 70186, 71415, 72050, 70881, 86098, 74670, 70205, 76192, 76154, 88750, 72571, 74123, 86098, 86094]","[69226, 73872, 70179, 69410, 70020, 70061, 73872, 74274, 70577, 70020, 69265, 70577, 74670, 70988, 70020, 70020, 71415, 75741, 91308, 69228, 73872, 69410, 70073, 73872, 75755, 76154, 72571, 69265, 73872, 73267, 70405, 70205, 69410, 76192, 70205, 69410, 73872, 72571, 69265, 75396, 73267, 69909, 73025, 70470, 70685, 71177, 70052, 72783, 70020, 69566]"
1,346852,0,"[69371, 69579]","[69371, 70127, 71415, 73872, 69265, 69745, 70127, 73872, 69579, 69371, 69579, 69323, 71120, 69502]",[69579],"[73381, 69579, 70405, 69579, 69288, 72622, 71751, 69371, 69371, 71751, 73872, 71751]"
1,347346,0,"[71543, 69251, 70033]",,"[70405, 69654, 73344, 74311, 88229, 75976, 69219, 71850, 73267, 70387, 69566, 70570, 73872, 70186, 70186, 69251, 70081, 73025, 74036, 70530, 69412, 69286]","[69654, 70577, 74640, 69288, 70033, 73872, 69654, 71415, 70577, 73872, 70988, 69219, 71415, 75741, 69318, 70033, 73872, 69219, 69251, 70110, 91308, 73872, 69251]"
1,347730,0,"[70387, 72522]",,"[72522, 70387, 71969, 90198, 75110, 69275, 69274, 69720, 69232, 73267, 71669, 69302]","[69275, 71309, 73872, 70387, 73872, 71969, 69856, 73872, 70577, 90198, 75110, 72783, 73657, 71488, 71488, 69856, 72174, 88878, 70198, 70387, 73657, 69275, 69274, 72522, 75396, 69275]"
1,348135,0,"[70387, 71120]","[70570, 73872, 69380, 73872, 70578]","[70387, 70864, 74090, 90198, 72667, 73384, 70429, 71312, 71669]","[69328, 69856, 73872, 73872, 70570, 73480]"
1,348160,0,"[70564, 69745]",,"[70564, 69857, 70387, 69371, 74708, 70062]","[69856, 73872, 69857, 71751, 73872]"
1,348253,0,[71120],,"[73267, 75290, 71312, 86098, 75290, 71312]","[69857, 73999, 69856, 73267, 69857, 73872, 73267, 70056, 69251, 74149, 69231]"
1,348870,0,"[69909, 69288]",[],"[69671, 69909, 69260, 76166, 74302, 69708, 71309, 86098, 70061, 69265]","[76166, 73872, 69909, 70061, 69228, 69260, 86098, 73872, 69708, 71309, 73872, 73872, 69265, 69228, 73872]"
1,349215,0,[69218],"[73480, 73872, 69199, 93705, 69323]","[73384, 71669, 69566, 86098, 73025, 70387]","[72783, 73384, 74640, 70577, 74640, 71669, 69566, 73872, 86098, 69816, 73025, 69566, 73025, 72622, 72232, 70198, 70387, 73872, 69609, 73381, 73381, 71965, 72622, 72232, 73872, 70940, 71751]"
1,349606,0,"[69321, 69219]",[],"[88229, 69251, 74036, 69253, 70570, 88229, 88229, 69318, 69275, 70865, 88229, 73207]","[73872, 70577, 69251, 69410, 86081, 72589, 71309, 73872, 69410, 70577, 75396, 75734, 71177, 70819, 71309, 69541, 86081, 69318, 75396, 71415, 69720, 73712, 71415, 75741, 70865, 69318, 88229, 69318, 70865, 75396, 73317, 70186, 69275, 73207, 88229, 73207, 69720, 69318, 88510, 86098, 69275, 70865, 74123, 73872, 69909, 69318, 69720, 69318, 70577, 86081, 70110, 70865, 69251, 75396, 75348, 73207, 69275, 70865, 75741, 70110, 70577, 75396, 70577, 70254, 70577, 90228, 90228, 69321, 70577]"
1,349790,0,"[71543, 74090, 76603, 69342, 69260, 73872, 74392]","[73872, 69342]","[69510, 74090, 69265, 76154, 72050, 71312]","[72514, 76154, 69265, 73872, 71415, 73872, 69225, 73872, 71803, 69225, 72514, 69225, 73872, 74090, 69510, 73872, 76603, 71123, 69715, 70179, 76154, 69715, 73872, 73515, 91308, 69609, 76603, 73872]"
1,349938,0,"[69566, 70257, 69219, 74392, 88750, 75276]","[88229, 90228, 69218, 88877, 70254, 73872, 69566, 69207]","[69410, 74772, 70020, 74302, 72013, 69566, 71471, 74392, 70061, 74274, 69765, 70405, 69654, 69334, 69274, 71415, 70186, 70685, 69334, 69274, 71415, 86098, 69566, 74924, 69207, 74303, 69566, 71309]","[69226, 73872, 70179, 73337, 69410, 70577, 73872, 70577, 69328, 69654, 71415, 70685, 73872, 73267, 73872, 69566, 73337, 74303, 69566, 73872, 71309, 69410, 69228, 73872, 69207, 70865, 69745, 73872, 69318, 88229]"
1,349953,0,"[70564, 74392, 88750, 75276]","[74090, 72312, 70860, 69654, 70564]","[69566, 73384, 69566, 74708, 70564, 69857, 73384, 74708, 70860, 69654, 88229, 90198, 70429, 70062]","[75253, 69566, 73872, 69566, 69371, 70564, 72783, 69371, 69566, 73872, 71751, 69566, 73872, 69371, 91308]"
1,350279,0,"[69909, 69510, 73915, 69288]","[70570, 69198, 69288, 69510, 73872, 88229, 73872]","[71317, 69510, 74670, 71171, 73719, 75286, 73384, 86098, 71640, 69909, 71312]","[70577, 70988, 70577, 75017, 69715, 69228, 69226]"
1,350728,0,"[71543, 72312, 69266]","[69218, 74090, 70578, 70254, 93705, 74392, 70570, 73872]","[74073, 74073, 69265, 74090, 70834]","[72514, 69247, 73872, 69225, 74073, 73872, 69265, 69715, 73872, 69265, 73872, 74073, 72742, 74073, 69225, 73872, 74090, 76089, 75396, 74073, 70834, 76089, 73872, 72589, 71309, 72589, 71309, 69608, 72783, 72783]"
1,351025,0,[72210],,"[72210, 70405, 69654, 76166, 74303, 86098, 70062, 69710, 70056, 87882, 70020, 70405, 69654, 74303, 71640, 70430]","[70198, 72210, 73872, 73381, 71803, 69226, 73872, 70179, 69528, 69654, 73872, 70020, 70577, 73872, 70681, 69265, 73872, 70430, 73872, 69495, 73872, 70405, 69265, 73267, 73872, 70062, 69328, 69710, 69342, 73872, 69260, 70570, 69311, 69234, 70570, 69323, 89949, 73872, 69528, 70056, 69228, 69745]"
1,351134,0,"[71543, 69251, 69274, 69410]",,"[69274, 69251, 73679, 70904, 71487, 71933, 69566, 71669, 75286, 69264, 74036, 69251, 86098, 76356, 71933, 69567]","[69274, 69274, 73872, 75396, 69274, 69226, 69251, 69274, 73872, 69251, 73999, 69358, 69715, 74036, 74036, 73999, 71933, 71669, 73872, 69566, 73872, 73267, 70864, 73872, 91308, 72571, 69358, 69274, 69251]"
1,351219,0,"[75511, 71453]",[],"[75511, 74073, 73872, 72008, 69772, 71309, 69265, 71640, 73985, 71177, 70530, 73872, 69412, 73872, 73025, 73872]","[71214, 71309, 73872, 69265, 72514, 73872, 71803, 71640, 73985, 69225, 73872, 70182, 73985, 73872, 71177, 69251, 75511, 74073, 73872, 74122, 71640, 73985]"
1,351776,0,"[70429, 73719]","[70254, 73719, 73872, 69842, 73872, 70254, 73719]","[71309, 69842, 90198, 70429, 69671, 69265]","[71309, 71803, 72514, 73872, 69842, 71309, 73872, 71817, 69842, 69265, 73872, 70429, 73872, 69225]"
