line,recipe id,hits,title,story,ingredients,steps
1,1787591,1,"[70578, 86088, 72381]","[72381, 86088, 69534, 69241, 70073, 89951, 75396, 72381, 69249, 88229, 69765, 73872, 90197, 70115, 72381, 69765, 90197, 72147, 73827, 73872, 69484, 71370]","[69865, 72381, 72050, 69765, 73872, 90197, 70115]","[69226, 73657, 73872, 72381, 73872, 70577, 72050, 73872, 69534, 70405, 72381, 73657, 69226, 72381, 72381, 73872, 75396, 75396, 72381, 69249, 88229, 69249, 75396, 86088, 69249]"
1,1793741,1,"[69454, 93777, 70807]",[],"[72050, 69265, 71309, 69765, 71415, 72174, 72050, 71470, 70020, 71470]","[75130, 93777, 70807, 72783, 69584, 69265, 74155, 71309, 69765, 73872, 70807, 69371, 70807, 69225, 69584, 71470, 73872, 70020, 75130, 73872, 71415, 72174, 73872, 71470, 70807, 73872, 69265, 69765]"
1,1793682,1,[73775],"[70578, 73775]","[73872, 72874, 69265, 69986, 69584, 71415, 69260, 73872, 74670, 73872, 70061, 69765, 73267, 73440, 86098, 90198, 70429]","[69226, 70577, 75396, 70430, 73872, 70577, 69226, 91308]"
1,1793639,1,[69358],,"[72050, 69972, 69495, 69495, 73872, 69654, 69650, 69386, 73665, 69986, 69827, 71848, 71555, 72423, 69207, 70094, 70036, 71415, 70618, 69343]","[75589, 69386, 69986, 73872, 72000, 69827, 69225, 72050, 69715, 72589, 69534, 69972, 69765, 73872, 90197, 75130, 69972, 69225, 69386, 69986, 73872, 72000, 69827, 72423, 69207, 69575, 69857, 71555, 73872, 71848, 70036, 73872, 73665, 69225, 73872, 71803, 69971, 71470, 73872, 69765, 73872, 90197, 69495, 71309, 69495, 73872, 69650, 69654, 73872, 71415, 72783, 70618, 69343, 69765, 73872, 90197, 69228, 69971, 69226, 88510, 70074, 69971, 69495, 70618, 69343, 69228]"
1,1793622,1,"[74326, 72288]","[73317, 69229, 69248, 69243, 69623, 69555, 73872, 69623, 69495]","[69403, 70020, 69765, 70061, 72974, 71415, 69260, 74670, 70180, 70180]","[69228, 69328, 89951, 70020, 69765, 73872, 70061, 70577, 72974, 73872, 71415, 69260, 74670, 73872, 70577, 70180, 69614, 70179, 70180, 91308, 74325, 72783, 70180, 69225, 69614, 74734, 72589, 74325, 70405, 69226]"
1,1793644,1,"[75328, 69745]","[75328, 69745, 75328, 69745, 69213, 70578, 73810, 70988, 73872, 69371, 73872]","[71415, 69265, 75721, 74302, 75741, 70865, 75328]","[71415, 69265, 75721, 73872, 75328, 72514, 73872, 69225, 71470, 70988, 75741, 70865, 69462, 75328, 73872, 69371]"
1,1793620,1,"[69896, 69343, 92515]",,"[69386, 71640, 71640, 71434, 69654, 69495, 73665, 71415, 69765, 90197, 72874, 73703, 69896, 69343, 69614, 73872, 75047]","[73610, 69386, 73872, 71434, 69654, 69495, 73872, 73665, 71803, 69225, 73872, 71817, 69495, 71415, 69606, 69765, 73872, 90197, 69328, 70020, 73872, 71415, 69249, 71803, 73872, 71470, 69225, 69343, 73872, 69614, 69343]"
1,1792133,1,[69324],"[89949, 69371, 69324, 69323, 73872, 70578, 73872, 75396, 73872, 69207, 73872]","[70345, 69482, 69391, 69386, 76104, 69737, 72667, 69772, 73919, 69275, 69274, 72050, 69765, 73872, 90197, 69827]","[76591, 69324, 72050, 69765, 73872, 90197, 69226, 72847, 73872, 69207, 69225, 69584, 69715, 73872, 69827, 72667, 73872, 69737, 73872, 69225, 69386, 73872, 69275, 69274, 73872, 71214, 69225, 69575, 73872, 69482, 69225, 69207, 71214, 73872, 73919, 73872, 69207]"
1,1793511,1,"[69235, 69893]",[],"[69727, 72423, 69207, 69287, 69230, 69765, 73872, 90197, 71841]","[69235, 70073, 73872, 71817]"
1,1785455,1,"[70578, 86088, 69708, 69396]","[86088, 89913, 69267, 73872, 69396, 88510, 75396, 74708, 73915, 71669, 71393, 71669, 69207]","[69396, 75950, 69783, 72783, 71723, 71669, 75396, 74708, 73915, 71351, 69386, 69827, 69827, 69765, 69604, 71640, 69584, 72783, 69542, 75168, 72008, 73440, 72667, 73440, 72667, 72783, 71865, 69737, 69827, 69207, 74122, 69708, 73381, 75741]","[69783, 70577, 73872, 71669, 69462, 69528, 69328, 69396, 69783, 73872, 69534, 69396, 70577, 88510, 69396, 74916, 70073, 74916, 69396, 73872, 73872, 86088, 69228, 69396, 70073, 69715, 70940, 69783, 88031, 70940, 69783, 69396, 69708, 73381, 69715, 73872, 71578, 91308]"
1,1585437,1,[71393],"[88229, 71393, 69633, 73872, 70115, 70020, 73446]","[72874, 70743, 72037, 69534, 70061, 90198, 70866, 71626, 90197, 71370, 75143, 69827, 69386, 73446, 75810, 76046, 69260, 72091, 71415]","[71309, 70577, 70743, 73317, 71309, 75943, 72037, 91308, 69765, 76046, 71626, 75943, 71309, 69765, 69715, 73632, 73610, 72091, 75130, 69396, 69225, 69584, 69225, 69260, 73872, 71415, 69260, 70020, 75130, 69396, 70179]"
1,443085,1,"[73268, 73872, 69495, 69530]",,"[73268, 69386, 71640, 93779, 69495, 69609, 72718, 70865, 69396, 69765, 73872, 90197]","[70330, 70040, 69386, 73872, 73381, 69495, 70040, 72718, 70040, 70865, 69396, 70115]"
1,467343,1,"[73025, 88040]",,"[73025, 70387, 74689]",[]
1,492252,1,"[70387, 69842, 69253, 71120]",[],"[69842, 70387, 69253, 70168, 71309]","[69856, 73872, 69856, 71120]"
1,1792569,1,[69384],"[72742, 88229, 70578, 73872]","[69384, 70807, 69827, 69865, 72050]","[73381, 69384, 69827, 70807, 75130, 69384, 73872, 69827, 72081, 70807, 69534, 70074, 70073, 88510]"
1,1060319,1,"[69243, 73872, 69402, 70801]",[],"[75396, 69575, 69575, 75396, 71634, 73918, 71640, 75396, 69515, 75396, 70283, 90198, 73827, 70895, 70115]","[69328, 70577, 73872, 70110, 73515]"
